gesture,count,mean,std,min,max,median
back,11,794.4390909090909,68.55393445376355,660.11,879.76,793.89
down,10,667.408,68.1886935561086,580.04,818.11,661.4300000000001
forward,10,762.308,81.5069864490155,655.72,886.06,732.02
left,10,837.7120000000001,80.3412585025762,751.79,1011.11,821.2149999999999
right,10,791.996,58.47719179304012,678.57,863.9,815.26
up,10,750.223,62.04924962389866,658.96,842.21,751.77
